Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
386;Marcus Smart;PG;29;MEM;11;11;29.9;4.6;10.8;0.429;1.6;5.5;0.295;3;5.3;0.569;0.504;1.5;1.9;0.81;0.3;2.2;2.5;5;2;0.4;3.4;3.2;12.5
387;Dennis Smith Jr.;PG;26;BRK;11;0;17;2.3;5.7;0.397;0.6;1.7;0.368;1.6;4;0.409;0.452;0.6;0.7;0.875;0.7;1.5;2.3;3.2;0.6;0.2;1;2.3;5.8
388;Dru Smith;SG;26;MIA;7;0;18.1;2.1;4.6;0.469;1;2.3;0.438;1.1;2.3;0.5;0.578;0.3;0.3;1;0.9;1;1.9;2;1.1;0.4;0.7;1.6;5.6
389;Ish Smith;PG;35;CHO;6;0;15;1.7;3.3;0.5;0.2;0.3;0.5;1.5;3;0.5;0.525;0;0;0;0.3;1.8;2.2;1.8;0.5;0.2;1.2;1;3.5
390;Jabari Smith Jr.;PF;20;HOU;10;10;28.6;4.9;10.5;0.467;1.7;4.8;0.354;3.2;5.7;0.561;0.548;0.5;0.9;0.556;1.6;5.4;7;1.2;0.6;0.5;1.1;3.5;12
391;Jalen Smith;C;23;IND;9;0;16.1;4.3;6.1;0.709;1.1;1.7;0.667;3.2;4.4;0.725;0.8;1.2;1.7;0.733;1.7;4.3;6;1.2;0.4;0.3;1.1;2.4;11
392;Nick Smith Jr.;SG;19;CHO;5;0;7.4;1;3.2;0.313;0.6;1.4;0.429;0.4;1.8;0.222;0.406;0;0;0;0.2;0.6;0.8;0.4;0.2;0.2;0.4;0.4;2.6
393;Jeremy Sochan;PG;20;SAS;13;13;28.7;4.2;9.5;0.447;0.8;1.8;0.417;3.5;7.6;0.455;0.488;1.4;1.9;0.72;1.4;4;5.4;4.5;1;0.3;2.5;3.3;10.6
394;Jaden Springer;SG;21;PHI;8;0;11.4;1.3;3.3;0.385;0.1;0.8;0.167;1.1;2.5;0.45;0.404;0.5;0.8;0.667;0.9;0.8;1.6;0.9;0.5;0.8;1.1;1.8;3.1
395;Lamar Stevens;PF;26;BOS;3;0;5.7;1.3;2.3;0.571;0.3;0.3;1;1;2;0.5;0.643;0;0;0;1.3;0.3;1.7;0.7;0.3;0;1;1;3
396;Isaiah Stewart;PF;22;DET;13;13;32.8;4.5;9.8;0.465;1.7;4.2;0.407;2.8;5.6;0.507;0.551;1.5;2;0.731;2.1;5.3;7.4;1.5;0.2;0.8;2.1;2.8;12.2
397;Julian Strawther;SF;21;DEN;9;0;9.8;1.9;4.4;0.425;1;3.1;0.321;0.9;1.3;0.667;0.538;0;0.2;0;0;0.8;0.8;0.6;0.2;0.2;0.1;1;4.8
398;Max Strus;SF;27;CLE;12;12;35.4;5.3;12.2;0.432;2.8;7.8;0.362;2.4;4.3;0.558;0.548;1.3;1.4;0.882;0.7;5.2;5.8;3.7;1;0.6;1.4;2.3;14.6
399;Jalen Suggs;SG;22;ORL;11;11;27.9;3.9;10.1;0.387;1.5;4.6;0.333;2.4;5.5;0.433;0.464;2.5;3.1;0.824;0.9;3.2;4.1;2.9;2.2;0.5;2.1;2.8;11.9
400;Cole Swider;SF;24;MIA;1;0;2;2;3;0.667;1;2;0.5;1;1;1;0.833;0;0;0;0;1;1;0;0;0;0;0;5
401;Jae'Sean Tate;SF;28;HOU;10;0;19.2;2.6;5.1;0.51;1;2.4;0.417;1.6;2.7;0.593;0.608;0.5;0.7;0.714;1.1;2.7;3.8;1.1;1.4;0.4;0.3;2.8;6.7
402;Jayson Tatum;PF;25;BOS;12;12;36.5;10;19.9;0.502;3.3;9.1;0.367;6.7;10.8;0.615;0.586;4.2;5.3;0.794;0.8;7.9;8.7;3.9;1.3;0.2;2.8;2.3;27.5
403;Terry Taylor;PF;24;CHI;3;0;2;0.3;0.3;1;0;0;0;0.3;0.3;1;1;0;0;0;0;0.3;0.3;0;0;0;0;0;0.7
404;Garrett Temple;SG;37;TOR;4;0;3.3;0.8;1;0.75;0.3;0.3;1;0.5;0.8;0.667;0.875;0.5;0.5;1;0;0.5;0.5;0;0.3;0;0;0;2.3
405;Dalen Terry;SG;21;CHI;4;0;2.8;0.8;2;0.375;0.3;1;0.25;0.5;1;0.5;0.438;0;0.5;0;0;1;1;0.8;0;0;0.3;0.3;1.8
406;Daniel Theis;C;31;TOT;2;0;9;1;3.5;0.286;0;1;0;1;2.5;0.4;0.286;0;1;0;0;1.5;1.5;0;0.5;0;0;1.5;2
406;Daniel Theis;C;31;IND;1;0;8;1;4;0.25;0;1;0;1;3;0.333;0.25;0;0;0;0;0;0;0;0;0;0;1;2
406;Daniel Theis;C;31;LAC;1;0;10;1;3;0.333;0;1;0;1;2;0.5;0.333;0;2;0;0;3;3;0;1;0;0;2;2
407;Cam Thomas;SG;22;BRK;8;7;32.4;9.9;20.6;0.479;2.1;6.6;0.321;7.8;14;0.554;0.53;5;5.9;0.851;0.3;3.5;3.8;2.1;0.9;0.6;1.3;1.9;26.9
408;Amen Thompson;SF;21;HOU;4;0;16.8;2.3;5.5;0.409;0.5;2.8;0.182;1.8;2.8;0.636;0.455;1.3;2;0.625;0.3;2.5;2.8;1.5;0.5;0.3;1.5;2.3;6.3
409;Ausar Thompson;SF;21;DET;13;13;31;4.7;10.8;0.436;0.3;2.2;0.143;4.4;8.6;0.509;0.45;2.1;3;0.692;4;6.3;10.3;3.5;1.2;1.8;2.4;3.4;11.8
410;Klay Thompson;SF;33;GSW;13;13;29.2;5.1;12.7;0.4;2.3;7;0.33;2.8;5.7;0.486;0.491;1.5;1.8;0.87;0.5;2.8;3.3;2.1;0.4;0.5;2;2.3;14
411;Tristan Thompson;PF;32;CLE;10;0;8.3;0.8;1.1;0.727;0;0;0;0.8;1.1;0.727;0.727;0.4;0.7;0.571;0.8;1.4;2.2;0.5;0.1;0.3;0.6;1;2
412;JT Thor;PF;21;CHO;12;1;17.9;1.8;4.2;0.42;0.8;2.1;0.36;1;2.1;0.48;0.51;0;0.3;0;1.1;2.3;3.4;0.8;0.3;0.4;0.3;1.3;4.3
413;Matisse Thybulle;SF;26;POR;12;9;20.6;2.4;4.7;0.518;1.6;3.8;0.422;0.8;0.9;0.909;0.688;0.3;0.4;0.8;0.3;1.4;1.7;1.2;1.2;0.7;0.6;1.1;6.8
